company,url,primary_category,secondary_categories,positioning,target_buyer,product_type,funding_stage,latest_funding,headcount,pricing_model,public_pricing,deployment_model,enterprise_readiness,moat,risk,sources,confidence
Holistic AI,https://www.holisticai.com,Governance,Security,"AI governance, risk, and compliance",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.holisticai.com,low-to-medium; phase1 candidate
Arthur AI,https://www.arthur.ai,Governance,Observability,"AI performance, explainability, and monitoring",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.arthur.ai,low-to-medium; phase1 candidate
Monitaur,https://www.monitaur.ai,Governance,Security,AI governance and compliance operations,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.monitaur.ai,low-to-medium; phase1 candidate
Truera,https://truera.com,Governance,Observability,"AI quality, explainability, and monitoring",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://truera.com,low-to-medium; phase1 candidate
Glean,https://www.glean.com,Knowledge Management,Enterprise Platforms,enterprise search and work AI,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.glean.com,low-to-medium; phase1 candidate
Hebbia,https://www.hebbia.ai,Knowledge Management,Vertical AI,AI search/analysis for enterprise knowledge work,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.hebbia.ai,low-to-medium; phase1 candidate
Unstructured,https://unstructured.io,Knowledge Management,AI Development Platforms,data ingestion for LLM applications,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://unstructured.io,low-to-medium; phase1 candidate
Pinecone,https://www.pinecone.io,Knowledge Management,Infrastructure,vector database for AI applications,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.pinecone.io,low-to-medium; phase1 candidate
Weaviate,https://weaviate.io,Knowledge Management,Infrastructure,open-source vector database,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://weaviate.io,low-to-medium; phase1 candidate
Chroma,https://www.trychroma.com,Knowledge Management,Infrastructure,embedding database for AI applications,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.trychroma.com,low-to-medium; phase1 candidate
Elastic,https://www.elastic.co,Knowledge Management,Observability,"search, security, and observability platform with AI search",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.elastic.co,low-to-medium; phase1 candidate
Coveo,https://www.coveo.com,Knowledge Management,Enterprise Platforms,enterprise search and relevance platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.coveo.com,low-to-medium; phase1 candidate
Sana,https://sanalabs.com,Knowledge Management,Enterprise Platforms,AI learning and knowledge platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://sanalabs.com,low-to-medium; phase1 candidate
Guru,https://www.getguru.com,Knowledge Management,Enterprise Platforms,enterprise knowledge base and AI search,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.getguru.com,low-to-medium; phase1 candidate
Notion AI,https://www.notion.com/product/ai,Knowledge Management,Enterprise Platforms,AI embedded in workspace knowledge,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.notion.com/product/ai,low-to-medium; phase1 candidate
Harvey,https://www.harvey.ai,Vertical AI,Enterprise Platforms,legal AI platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.harvey.ai,low-to-medium; phase1 candidate
Abridge,https://www.abridge.com,Vertical AI,Healthcare AI,clinical conversation and documentation AI,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.abridge.com,low-to-medium; phase1 candidate
Ambience Healthcare,https://www.ambiencehealthcare.com,Vertical AI,Healthcare AI,clinical AI operating system,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.ambiencehealthcare.com,low-to-medium; phase1 candidate
Hippocratic AI,https://www.hippocraticai.com,Vertical AI,Healthcare AI,healthcare safety-focused AI agents,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.hippocraticai.com,low-to-medium; phase1 candidate
Innovaccer,https://innovaccer.com,Vertical AI,Enterprise Platforms,healthcare data and AI cloud,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://innovaccer.com,low-to-medium; phase1 candidate
Nabla,https://www.nabla.com,Vertical AI,Healthcare AI,AI clinical assistant,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.nabla.com,low-to-medium; phase1 candidate
EvenUp,https://www.evenuplaw.com,Vertical AI,Legal AI,AI for personal injury law workflows,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.evenuplaw.com,low-to-medium; phase1 candidate
EliseAI,https://www.eliseai.com,Vertical AI,Enterprise Platforms,AI agents for housing and healthcare operations,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.eliseai.com,low-to-medium; phase1 candidate
Sierra,https://sierra.ai,Vertical AI,Enterprise Platforms,customer service AI agents,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://sierra.ai,low-to-medium; phase1 candidate
Decagon,https://decagon.ai,Vertical AI,Enterprise Platforms,AI customer support agents,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://decagon.ai,low-to-medium; phase1 candidate
Intercom Fin,https://www.intercom.com/fin,Vertical AI,Enterprise Platforms,AI customer support agent,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.intercom.com/fin,low-to-medium; phase1 candidate
Ada,https://www.ada.cx,Vertical AI,Enterprise Platforms,AI customer service automation,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.ada.cx,low-to-medium; phase1 candidate
SoundHound AI,https://www.soundhound.com,Vertical AI,Enterprise Platforms,voice AI and enterprise conversational agents,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.soundhound.com,low-to-medium; phase1 candidate
Manus,https://manus.im,Agent Frameworks,Vertical AI,general autonomous AI agent,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://manus.im,low-to-medium; phase1 candidate
H Company,https://www.hcompany.ai,Agent Frameworks,Foundation Models,action-oriented AI agents and computer-use models,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.hcompany.ai,low-to-medium; phase1 candidate
Artisan,https://www.artisan.co,Vertical AI,Agent Frameworks,AI sales and business workflow agents,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.artisan.co,low-to-medium; phase1 candidate
Accenture,https://www.accenture.com,AI Consulting,Managed Services,AI transformation consulting and managed delivery,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.accenture.com,low-to-medium; phase1 candidate
Deloitte,https://www.deloitte.com,AI Consulting,Governance,"AI strategy, risk, and transformation services",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.deloitte.com,low-to-medium; phase1 candidate
McKinsey QuantumBlack,https://www.mckinsey.com/capabilities/quantumblack,AI Consulting,Managed Services,AI consulting and analytics transformation,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.mckinsey.com/capabilities/quantumblack,low-to-medium; phase1 candidate
BCG X,https://www.bcg.com/x,AI Consulting,Managed Services,"AI strategy, build, and venture services",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.bcg.com/x,low-to-medium; phase1 candidate
Bain AI,https://www.bain.com,AI Consulting,Managed Services,AI strategy and transformation consulting,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.bain.com,low-to-medium; phase1 candidate
IBM Consulting,https://www.ibm.com/consulting,AI Consulting,Enterprise Platforms,AI consulting tied to IBM platform ecosystem,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.ibm.com/consulting,low-to-medium; phase1 candidate
EY,https://www.ey.com,AI Consulting,Governance,"AI transformation, assurance, and risk advisory",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.ey.com,low-to-medium; phase1 candidate
PwC,https://www.pwc.com,AI Consulting,Governance,"AI strategy, governance, and implementation services",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.pwc.com,low-to-medium; phase1 candidate
KPMG,https://kpmg.com,AI Consulting,Governance,"AI risk, compliance, and transformation advisory",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://kpmg.com,low-to-medium; phase1 candidate
Capgemini,https://www.capgemini.com,Managed Services,AI Consulting,AI engineering and managed transformation services,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.capgemini.com,low-to-medium; phase1 candidate
Cognizant,https://www.cognizant.com,Managed Services,AI Consulting,AI implementation and managed services,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.cognizant.com,low-to-medium; phase1 candidate
TCS,https://www.tcs.com,Managed Services,AI Consulting,enterprise AI implementation and managed services,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.tcs.com,low-to-medium; phase1 candidate
Infosys,https://www.infosys.com,Managed Services,AI Consulting,AI-first services and enterprise transformation,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.infosys.com,low-to-medium; phase1 candidate
Wipro,https://www.wipro.com,Managed Services,AI Consulting,enterprise AI services and consulting,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.wipro.com,low-to-medium; phase1 candidate
HCLTech,https://www.hcltech.com,Managed Services,AI Consulting,AI engineering and managed enterprise services,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.hcltech.com,low-to-medium; phase1 candidate
Coforge,https://www.coforge.com,Managed Services,Vertical AI,AI implementation and vertical technology services,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.coforge.com,low-to-medium; phase1 candidate
